id;Check;checkingpeer;state;Time
130;65;Jamelstr;Success;14:32:00
131;66;Westagar;Start;14:40:00
132;66;Westagar;Success;15:00:00
133;67;Iemarias;Start;15:10:00
134;67;Iemarias;Success;15:30:00
135;68;Usicelar;Start;15:30:00
136;68;Usicelar;Success;15:57:00
137;69;Jecugrrl;Start;15:59:00
138;69;Jecugrrl;Success;16:24:00
139;70;Nearache;Start;16:30:00
140;70;Nearache;Failure;16:43:00
141;71;Deghayra;Start;16:50:00
142;71;Deghayra;Failure;17:10:00
143;72;Jamelstr;Start;17:15:00
144;72;Jamelstr;Success;17:40:00
145;73;Eileangi;Start;17:50:00
146;73;Eileangi;Success;18:10:00
147;74;Jamelstr;Start;18:20:00
148;74;Jamelstr;Success;18:55:00
149;75;Jecugrrl;Start;12:20:00
150;75;Jecugrrl;Success;12:35:00
151;76;Naunggly;Start;12:40:00
152;76;Naunggly;Success;13:03:00
153;77;Ponanyli;Start;12:00:00
154;77;Ponanyli;Success;12:34:00
155;78;Westagar;Start;12:40:00
156;78;Westagar;Success;13:00:00
157;79;Katemede;Start;13:10:00
158;79;Katemede;Success;13:50:00
159;80;Eileangi;Start;13:55:00
160;80;Eileangi;Failure;14:10:00
161;80;Toriaran;Start;13:55:00
162;80;Toriaran;Failure;14:10:00
163;81;Thonimeo;Start;14:15:00
164;81;Thonimeo;Success;14:34:00
165;82;Toriaran;Start;14:40:00
166;82;Toriaran;Success;14:58:00
167;83;Ponanyli;Start;15:00:00
168;83;Ponanyli;Failure;15:32:00
169;84;Oryadela;Start;12:40:00
170;84;Oryadela;Success;12:59:00
171;85;Thonimeo;Start;13:00:00
172;85;Thonimeo;Success;13:24:00
173;86;Ponanyli;Start;13:30:00
174;86;Ponanyli;Success;13:43:00
175;87;Naunggly;Start;13:50:00
176;87;Naunggly;Success;14:10:00
177;88;Iemarias;Start;14:20:00
178;88;Iemarias;Success;14:59:00
179;89;Jobinnne;Start;15:00:00
180;89;Jobinnne;Success;15:25:00
181;90;Toriaran;Start;15:30:00
182;90;Toriaran;Success;15:47:00
183;91;Jamelstr;Start;15:50:00
184;91;Jamelstr;Success;16:10:00
185;92;Toriaran;Start;16:20:00
186;92;Toriaran;Failure;16:40:00
187;93;Jecugrrl;Start;12:20:00
188;93;Jecugrrl;Success;12:44:00
189;94;Nearache;Start;12:50:00
190;94;Nearache;Failure;13:10:00
191;95;Ponanyli;Start;12:55:00
192;95;Ponanyli;Success;13:32:00
193;96;Katemede;Start;13:40:00
194;96;Katemede;Success;13:57:00
195;97;Westagar;Start;13:59:00
196;97;Westagar;Success;14:15:00
197;98;Pararlaf;Start;14:20:00
198;98;Pararlaf;Failure;14:34:00
199;99;Naunggly;Start;12:20:00
200;99;Naunggly;Failure;12:40:00
201;100;Katemede;Start;12:45:00
202;100;Katemede;Failure;13:00:00
203;101;Jamelstr;Start;13:10:00
204;101;Jamelstr;Success;13:50:00
205;102;Westagar;Start;13:55:00
206;102;Westagar;Success;14:10:00
207;103;Oryadela;Start;14:15:00
208;103;Oryadela;Success;14:40:00
209;104;Nearache;Start;14:45:00
210;104;Nearache;Success;15:00:00
211;105;Naunggly;Start;12:00:00
212;105;Naunggly;Failure;12:30:00
213;106;Pararlaf;Start;12:40:00
214;106;Pararlaf;Success;13:00:00
215;107;Usicelar;Start;13:10:00
216;107;Usicelar;Success;13:43:00
217;108;Dynarini;Start;13:50:00
218;108;Dynarini;Success;14:10:00
219;109;Ponanyli;Start;14:20:00
220;109;Ponanyli;Success;14:43:00
221;110;Iemarias;Start;12:20:00
222;110;Iemarias;Success;12:43:00
223;111;Pararlaf;Start;12:30:00
224;111;Pararlaf;Success;12:55:00
225;112;Jamelstr;Start;12:56:00
226;112;Jamelstr;Failure;13:20:00
227;113;Nearache;Start;13:25:00
228;113;Nearache;Success;13:50:00
229;114;Usicelar;Start;12:25:00
230;114;Usicelar;Success;12:50:00
231;115;Deghayra;Start;13:10:00
232;115;Deghayra;Failure;13:53:00
233;116;Ucerallb;Start;10:10:00
234;116;Ucerallb;Success;10:12:00
235;117;Pararlaf;Start;10:10:00
236;117;Pararlaf;Failure;10:50:00
237;118;Nearache;Start;15:10:00
238;118;Nearache;Success;16:05:00
